Date,Ingredient,Demand,Waste,Unit_Price,Stock_Level,Day_of_Week,Month,Year,Is_Weekend,Is_Holiday,Waste_Percentage
2023-01-01,Tomatoes,34,7,9.44,40,6,1,2023,1,0,20.588235294117645
2023-01-02,Tomatoes,23,3,2.14,28,0,1,2023,0,0,13.043478260869565
2023-01-03,Tomatoes,32,4,4.28,36,1,1,2023,0,0,12.5
2023-01-04,Tomatoes,30,5,4.11,38,2,1,2023,0,0,16.666666666666664
2023-01-05,Tomatoes,32,6,6.41,36,3,1,2023,0,0,18.75
2023-01-06,Tomatoes,31,2,6.0,38,4,1,2023,0,0,6.451612903225806
2023-01-07,Tomatoes,40,4,4.15,53,5,1,2023,1,0,10.0
2023-01-08,Tomatoes,33,7,3.29,39,6,1,2023,1,0,21.21212121212121
2023-01-09,Tomatoes,27,4,8.63,33,0,1,2023,0,0,14.814814814814813
2023-01-10,Tomatoes,26,5,12.78,30,1,1,2023,0,0,19.230769230769234
2023-01-11,Tomatoes,34,3,5.58,39,2,1,2023,0,0,8.823529411764707
2023-01-12,Tomatoes,36,8,11.82,45,3,1,2023,0,0,22.22222222222222
2023-01-13,Tomatoes,25,5,14.86,31,4,1,2023,0,0,20.0
2023-01-14,Tomatoes,31,6,2.57,37,5,1,2023,1,0,19.35483870967742
2023-01-15,Tomatoes,33,4,13.5,38,6,1,2023,1,0,12.121212121212121
2023-01-16,Tomatoes,30,4,12.14,38,0,1,2023,0,0,13.333333333333334
2023-01-17,Tomatoes,30,5,8.35,36,1,1,2023,0,0,16.666666666666664
2023-01-18,Tomatoes,30,5,3.33,34,2,1,2023,0,0,16.666666666666664
2023-01-19,Tomatoes,33,4,7.13,39,3,1,2023,0,0,12.121212121212121
2023-01-20,Tomatoes,24,4,9.95,31,4,1,2023,0,0,16.666666666666664
2023-01-21,Tomatoes,34,8,13.57,42,5,1,2023,1,0,23.52941176470588
2023-01-22,Tomatoes,35,6,7.83,44,6,1,2023,1,0,17.142857142857142
2023-01-23,Tomatoes,23,3,4.8,26,0,1,2023,0,0,13.043478260869565
2023-01-24,Tomatoes,30,3,13.8,38,1,1,2023,0,0,10.0
2023-01-25,Tomatoes,32,4,13.65,39,2,1,2023,0,0,12.5
2023-01-26,Tomatoes,32,5,14.33,35,3,1,2023,0,0,15.625
2023-01-27,Tomatoes,30,4,8.37,34,4,1,2023,0,0,13.333333333333334
2023-01-28,Tomatoes,38,5,10.64,45,5,1,2023,1,0,13.157894736842104
2023-01-29,Tomatoes,43,9,4.11,50,6,1,2023,1,0,20.930232558139537
2023-01-30,Tomatoes,31,6,2.83,39,0,1,2023,0,0,19.35483870967742
2023-01-31,Tomatoes,30,4,7.49,34,1,1,2023,0,0,13.333333333333334
2023-02-01,Tomatoes,35,4,6.14,40,2,2,2023,0,0,11.428571428571429
2023-02-02,Tomatoes,31,4,12.35,35,3,2,2023,0,0,12.903225806451612
2023-02-03,Tomatoes,31,4,14.64,37,4,2,2023,0,0,12.903225806451612
2023-02-04,Tomatoes,34,6,12.01,40,5,2,2023,1,0,17.647058823529413
2023-02-05,Tomatoes,37,3,3.9,43,6,2,2023,1,0,8.108108108108109
2023-02-06,Tomatoes,35,6,5.12,45,0,2,2023,0,0,17.142857142857142
2023-02-07,Tomatoes,32,3,4.32,39,1,2,2023,0,0,9.375
2023-02-08,Tomatoes,32,3,6.68,38,2,2,2023,0,0,9.375
2023-02-09,Tomatoes,32,5,6.95,40,3,2,2023,0,0,15.625
2023-02-10,Tomatoes,30,5,13.73,36,4,2,2023,0,0,16.666666666666664
2023-02-11,Tomatoes,39,7,13.82,44,5,2,2023,1,0,17.94871794871795
2023-02-12,Tomatoes,37,7,10.92,41,6,2,2023,1,0,18.91891891891892
2023-02-13,Tomatoes,31,3,12.67,38,0,2,2023,0,0,9.67741935483871
2023-02-14,Tomatoes,27,4,9.28,33,1,2,2023,0,0,14.814814814814813
2023-02-15,Tomatoes,28,5,3.53,35,2,2,2023,0,0,17.857142857142858
2023-02-16,Tomatoes,33,6,6.29,42,3,2,2023,0,0,18.181818181818183
2023-02-17,Tomatoes,26,4,2.19,32,4,2,2023,0,0,15.384615384615385
2023-02-18,Tomatoes,33,5,11.21,39,5,2,2023,1,0,15.151515151515152
2023-02-19,Tomatoes,35,6,5.57,45,6,2,2023,1,0,17.142857142857142
2023-02-20,Tomatoes,31,5,7.72,35,0,2,2023,0,0,16.129032258064516
2023-02-21,Tomatoes,30,5,4.49,37,1,2,2023,0,0,16.666666666666664
2023-02-22,Tomatoes,33,4,2.31,43,2,2,2023,0,0,12.121212121212121
2023-02-23,Tomatoes,30,4,6.05,38,3,2,2023,0,0,13.333333333333334
2023-02-24,Tomatoes,36,2,6.0,40,4,2,2023,0,0,5.555555555555555
2023-02-25,Tomatoes,37,6,6.42,46,5,2,2023,1,0,16.216216216216218
2023-02-26,Tomatoes,37,5,6.86,43,6,2,2023,1,0,13.513513513513514
2023-02-27,Tomatoes,30,5,2.94,37,0,2,2023,0,0,16.666666666666664
2023-02-28,Tomatoes,34,4,3.46,41,1,2,2023,0,0,11.76470588235294
2023-03-01,Tomatoes,30,5,8.37,38,2,3,2023,0,0,16.666666666666664
2023-03-02,Tomatoes,30,6,2.75,34,3,3,2023,0,0,20.0
2023-03-03,Tomatoes,29,4,7.19,33,4,3,2023,0,0,13.793103448275861
2023-03-04,Tomatoes,40,4,8.14,50,5,3,2023,1,0,10.0
2023-03-05,Tomatoes,36,5,7.27,44,6,3,2023,1,0,13.88888888888889
2023-03-06,Tomatoes,35,6,10.24,41,0,3,2023,0,0,17.142857142857142
2023-03-07,Tomatoes,33,5,11.57,37,1,3,2023,0,0,15.151515151515152
2023-03-08,Tomatoes,32,5,5.06,40,2,3,2023,0,0,15.625
2023-03-09,Tomatoes,31,4,8.58,38,3,3,2023,0,0,12.903225806451612
2023-03-10,Tomatoes,38,6,13.83,47,4,3,2023,0,0,15.789473684210526
2023-03-11,Tomatoes,38,7,6.05,43,5,3,2023,1,0,18.421052631578945
2023-03-12,Tomatoes,41,5,14.77,47,6,3,2023,1,0,12.195121951219512
2023-03-13,Tomatoes,27,3,10.09,33,0,3,2023,0,0,11.11111111111111
2023-03-14,Tomatoes,32,4,12.54,39,1,3,2023,0,0,12.5
2023-03-15,Tomatoes,38,6,10.28,42,2,3,2023,0,0,15.789473684210526
2023-03-16,Tomatoes,32,2,9.58,35,3,3,2023,0,0,6.25
2023-03-17,Tomatoes,33,6,6.32,38,4,3,2023,0,0,18.181818181818183
2023-03-18,Tomatoes,41,7,13.21,46,5,3,2023,1,0,17.073170731707318
2023-03-19,Tomatoes,39,7,4.04,44,6,3,2023,1,0,17.94871794871795
2023-03-20,Tomatoes,35,5,8.62,45,0,3,2023,0,0,14.285714285714285
2023-03-21,Tomatoes,26,5,8.07,33,1,3,2023,0,0,19.230769230769234
2023-03-22,Tomatoes,31,5,8.76,37,2,3,2023,0,0,16.129032258064516
2023-03-23,Tomatoes,30,5,6.57,37,3,3,2023,0,0,16.666666666666664
2023-03-24,Tomatoes,32,3,2.22,41,4,3,2023,0,0,9.375
2023-03-25,Tomatoes,39,7,14.52,43,5,3,2023,1,0,17.94871794871795
2023-03-26,Tomatoes,47,9,2.58,54,6,3,2023,1,0,19.148936170212767
2023-03-27,Tomatoes,30,5,3.22,34,0,3,2023,0,0,16.666666666666664
2023-03-28,Tomatoes,30,5,11.99,36,1,3,2023,0,0,16.666666666666664
2023-03-29,Tomatoes,31,2,10.58,38,2,3,2023,0,0,6.451612903225806
2023-03-30,Tomatoes,28,3,8.98,34,3,3,2023,0,0,10.714285714285714
2023-03-31,Tomatoes,34,4,13.09,41,4,3,2023,0,0,11.76470588235294
2023-04-01,Tomatoes,43,3,2.94,52,5,4,2023,1,0,6.976744186046512
2023-04-02,Tomatoes,37,4,14.69,41,6,4,2023,1,0,10.81081081081081
2023-04-03,Tomatoes,34,9,11.15,44,0,4,2023,0,0,26.47058823529412
2023-04-04,Tomatoes,38,6,2.44,44,1,4,2023,0,0,15.789473684210526
2023-04-05,Tomatoes,31,4,10.5,34,2,4,2023,0,0,12.903225806451612
2023-04-06,Tomatoes,32,6,2.69,39,3,4,2023,0,0,18.75
2023-04-07,Tomatoes,28,2,13.06,35,4,4,2023,0,0,7.142857142857142
2023-04-08,Tomatoes,35,3,5.31,41,5,4,2023,1,0,8.571428571428571
2023-04-09,Tomatoes,45,6,9.45,53,6,4,2023,1,0,13.333333333333334
2023-04-10,Tomatoes,35,4,10.52,38,0,4,2023,0,0,11.428571428571429
2023-04-11,Tomatoes,33,4,12.54,38,1,4,2023,0,0,12.121212121212121
2023-04-12,Tomatoes,35,4,4.54,42,2,4,2023,0,0,11.428571428571429
2023-04-13,Tomatoes,32,6,7.19,37,3,4,2023,0,0,18.75
2023-04-14,Tomatoes,39,6,6.61,46,4,4,2023,0,0,15.384615384615385
2023-04-15,Tomatoes,46,10,4.6,52,5,4,2023,1,0,21.73913043478261
2023-04-16,Tomatoes,34,6,6.32,42,6,4,2023,1,0,17.647058823529413
2023-04-17,Tomatoes,34,1,14.21,41,0,4,2023,0,0,2.941176470588235
2023-04-18,Tomatoes,25,4,2.11,32,1,4,2023,0,0,16.0
2023-04-19,Tomatoes,30,5,7.7,36,2,4,2023,0,0,16.666666666666664
2023-04-20,Tomatoes,32,5,11.87,39,3,4,2023,0,0,15.625
2023-04-21,Tomatoes,33,6,13.23,39,4,4,2023,0,0,18.181818181818183
2023-04-22,Tomatoes,38,6,9.43,49,5,4,2023,1,0,15.789473684210526
2023-04-23,Tomatoes,40,8,4.91,48,6,4,2023,1,0,20.0
2023-04-24,Tomatoes,37,5,4.78,41,0,4,2023,0,0,13.513513513513514
2023-04-25,Tomatoes,32,3,10.9,35,1,4,2023,0,0,9.375
2023-04-26,Tomatoes,30,6,7.48,34,2,4,2023,0,0,20.0
2023-04-27,Tomatoes,34,5,13.82,37,3,4,2023,0,0,14.705882352941178
2023-04-28,Tomatoes,27,6,9.28,34,4,4,2023,0,0,22.22222222222222
2023-04-29,Tomatoes,40,4,2.17,49,5,4,2023,1,0,10.0
2023-04-30,Tomatoes,39,3,7.75,50,6,4,2023,1,0,7.6923076923076925
2023-05-01,Tomatoes,29,5,5.17,32,0,5,2023,0,0,17.24137931034483
2023-05-02,Tomatoes,28,6,10.79,36,1,5,2023,0,0,21.428571428571427
2023-05-03,Tomatoes,33,3,14.47,41,2,5,2023,0,0,9.090909090909092
2023-05-04,Tomatoes,29,5,7.69,32,3,5,2023,0,0,17.24137931034483
2023-05-05,Tomatoes,29,5,5.7,36,4,5,2023,0,0,17.24137931034483
2023-05-06,Tomatoes,33,5,7.54,40,5,5,2023,1,0,15.151515151515152
2023-05-07,Tomatoes,37,6,2.87,48,6,5,2023,1,0,16.216216216216218
2023-05-08,Tomatoes,32,5,4.21,41,0,5,2023,0,0,15.625
2023-05-09,Tomatoes,32,8,7.43,35,1,5,2023,0,0,25.0
2023-05-10,Tomatoes,37,5,2.12,46,2,5,2023,0,0,13.513513513513514
2023-05-11,Tomatoes,38,4,5.14,46,3,5,2023,0,0,10.526315789473683
2023-05-12,Tomatoes,29,5,10.63,34,4,5,2023,0,0,17.24137931034483
2023-05-13,Tomatoes,36,4,9.52,41,5,5,2023,1,0,11.11111111111111
2023-05-14,Tomatoes,39,5,12.81,49,6,5,2023,1,0,12.82051282051282
2023-05-15,Tomatoes,28,3,10.06,31,0,5,2023,0,0,10.714285714285714
2023-05-16,Tomatoes,24,5,10.69,28,1,5,2023,0,0,20.833333333333336
2023-05-17,Tomatoes,33,4,2.07,42,2,5,2023,0,0,12.121212121212121
2023-05-18,Tomatoes,33,5,11.46,37,3,5,2023,0,0,15.151515151515152
2023-05-19,Tomatoes,32,7,4.44,41,4,5,2023,0,0,21.875
2023-05-20,Tomatoes,40,6,7.46,51,5,5,2023,1,0,15.0
2023-05-21,Tomatoes,33,6,13.8,41,6,5,2023,1,0,18.181818181818183
2023-05-22,Tomatoes,29,6,8.03,33,0,5,2023,0,0,20.689655172413794
2023-05-23,Tomatoes,31,5,13.32,36,1,5,2023,0,0,16.129032258064516
2023-05-24,Tomatoes,27,3,12.96,30,2,5,2023,0,0,11.11111111111111
2023-05-25,Tomatoes,29,4,12.83,37,3,5,2023,0,0,13.793103448275861
2023-05-26,Tomatoes,34,6,5.32,38,4,5,2023,0,0,17.647058823529413
2023-05-27,Tomatoes,32,6,7.83,39,5,5,2023,1,0,18.75
2023-05-28,Tomatoes,45,6,11.09,55,6,5,2023,1,0,13.333333333333334
2023-05-29,Tomatoes,32,4,11.85,41,0,5,2023,0,0,12.5
2023-05-30,Tomatoes,29,4,4.03,35,1,5,2023,0,0,13.793103448275861
2023-05-31,Tomatoes,34,7,6.68,41,2,5,2023,0,0,20.588235294117645
2023-06-01,Tomatoes,22,4,10.03,24,3,6,2023,0,0,18.181818181818183
2023-06-02,Tomatoes,27,3,14.93,35,4,6,2023,0,0,11.11111111111111
2023-06-03,Tomatoes,33,4,14.31,37,5,6,2023,1,0,12.121212121212121
2023-06-04,Tomatoes,35,15,13.84,41,6,6,2023,1,0,42.857142857142854
2023-06-05,Tomatoes,27,5,3.23,32,0,6,2023,0,0,18.51851851851852
2023-06-06,Tomatoes,25,4,11.88,28,1,6,2023,0,0,16.0
2023-06-07,Tomatoes,24,3,3.03,31,2,6,2023,0,0,12.5
2023-06-08,Tomatoes,32,7,13.47,37,3,6,2023,0,0,21.875
2023-06-09,Tomatoes,32,5,14.5,41,4,6,2023,0,0,15.625
2023-06-10,Tomatoes,29,2,10.73,33,5,6,2023,1,0,6.896551724137931
2023-06-11,Tomatoes,33,5,14.18,43,6,6,2023,1,0,15.151515151515152
2023-06-12,Tomatoes,25,3,12.06,28,0,6,2023,0,0,12.0
2023-06-13,Tomatoes,25,4,11.56,30,1,6,2023,0,0,16.0
2023-06-14,Tomatoes,28,5,3.8,35,2,6,2023,0,0,17.857142857142858
2023-06-15,Tomatoes,23,4,10.53,27,3,6,2023,0,0,17.391304347826086
2023-06-16,Tomatoes,31,2,8.1,35,4,6,2023,0,0,6.451612903225806
2023-06-17,Tomatoes,33,3,2.24,39,5,6,2023,1,0,9.090909090909092
2023-06-18,Tomatoes,32,4,10.42,37,6,6,2023,1,0,12.5
2023-06-19,Tomatoes,26,4,12.15,31,0,6,2023,0,0,15.384615384615385
2023-06-20,Tomatoes,28,6,4.43,32,1,6,2023,0,0,21.428571428571427
2023-06-21,Tomatoes,24,4,10.19,31,2,6,2023,0,0,16.666666666666664
2023-06-22,Tomatoes,33,6,5.96,39,3,6,2023,0,0,18.181818181818183
2023-06-23,Tomatoes,28,4,8.35,33,4,6,2023,0,0,14.285714285714285
2023-06-24,Tomatoes,32,3,12.09,35,5,6,2023,1,0,9.375
2023-06-25,Tomatoes,28,4,3.49,35,6,6,2023,1,0,14.285714285714285
2023-06-26,Tomatoes,29,1,4.58,36,0,6,2023,0,0,3.4482758620689653
2023-06-27,Tomatoes,29,5,14.94,37,1,6,2023,0,0,17.24137931034483
2023-06-28,Tomatoes,28,4,5.79,33,2,6,2023,0,0,14.285714285714285
2023-06-29,Tomatoes,30,4,10.71,38,3,6,2023,0,0,13.333333333333334
